City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
117,Jalu,LY,73.06,clear sky,29.03,21.55,Jalu Hotel
118,Novoagansk,RU,61.18,overcast clouds,61.94,76.66,
119,Bambous Virieux,MU,71.6,scattered clouds,-20.34,57.76,Casa Tia Villa
123,Yeppoon,AU,69.8,few clouds,-23.13,150.73,Villa Mar Colina
124,Mgandu,TZ,59.76,broken clouds,-5.95,34.13,
127,Constitucion,CL,54.45,clear sky,-35.33,-72.42,Hotel Boutique Las Azucenas
128,Vila Franca Do Campo,PT,59.0,few clouds,37.72,-25.43,Pestana Bahia Praia
129,Avarua,CK,80.6,overcast clouds,-21.21,-159.78,Paradise Inn
130,Cabedelo,BR,77.0,few clouds,-6.98,-34.83,Lua Mansa Pousada
132,Kholtoson,RU,50.36,broken clouds,50.3,103.31,
133,De Aar,ZA,55.09,clear sky,-30.65,24.01,Stoneburgh B&B
134,Sevojno,RS,59.0,broken clouds,43.84,19.9,Eco Hostel Republik
136,Mahebourg,MU,71.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
139,Raga,SS,77.13,overcast clouds,8.46,25.68,
140,Vilhena,BR,70.92,scattered clouds,-12.74,-60.15,Hotel Mirage
143,Bartica,GY,77.0,broken clouds,6.4,-58.62,La Vista Hotel and Apartment
144,Hasaki,JP,71.6,mist,35.73,140.83,Inubosaki Kanko Hotel
145,Butaritari,KI,83.66,few clouds,3.07,172.79,Isles Sunset Lodge
146,Pontianak,ID,78.8,thunderstorm,-0.03,109.33,Aston Pontianak Hotel & Convention Center
149,Cayenne,GF,75.2,broken clouds,4.93,-52.33,Hôtel Le Dronmi
150,Ponta Do Sol,PT,64.4,few clouds,32.67,-17.1,Hotel do Campo
151,Praya,CV,71.6,few clouds,14.92,-23.51,LT Aparthotel
152,Kayanza,BI,56.57,overcast clouds,-3.07,29.67,
153,Pasni,PK,81.57,few clouds,25.26,63.47,3G hotel pasni
155,Asau,RO,55.0,overcast clouds,46.43,26.4,Casa Mika Ciobanus
156,Alice Springs,AU,53.6,broken clouds,-23.7,133.88,Desert Palms Alice Springs
157,Saint-Philippe,RE,69.8,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
158,Victoria,HK,84.0,broken clouds,22.29,114.16,Mini Hotel Central
160,Biloela,AU,65.64,overcast clouds,-24.42,150.5,Silo Motor Inn
161,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
162,Nouadhibou,MR,67.26,overcast clouds,20.93,-17.03,El Medina
164,Broken Hill,AU,51.8,clear sky,-31.95,141.43,Daydream Motel & Cottages
165,Lagoa,PT,57.74,broken clouds,39.05,-27.98,Casa Das Faias
166,Aras,ES,55.4,broken clouds,42.56,-2.36,Jardines de Viana Spa
167,Diez,DE,55.99,overcast clouds,50.37,8.02,Vienna House Easy Limburg
169,Nowa Sol,PL,60.01,broken clouds,51.8,15.72,Pensjonat Korona
170,Greenwood,US,68.0,clear sky,34.17,-82.12,Quality Inn Greenwood Hwy 25
171,Parana,AR,75.0,broken clouds,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
172,Ribeira Grande,PT,58.77,scattered clouds,38.52,-28.7,Quinta da Meia Eira
173,Zheleznodorozhnyy,RU,55.4,overcast clouds,55.75,38.0,Hotel Dali
174,Turkmenabat,TM,68.0,broken clouds,39.07,63.58,Jeyhun Oteli
175,Chiang Khong,TH,73.0,few clouds,20.26,100.4,Chiangkhong Green Inn Resident
177,San Patricio,MX,80.6,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
178,Acarau,BR,76.78,overcast clouds,-2.89,-40.12,castelo pizzaria
179,Kununurra,AU,78.8,scattered clouds,-15.77,128.73,Hotel Kununurra
181,Port Dover,CA,52.0,overcast clouds,42.78,-80.2,Erie Beach Hotel
182,Alexandria,EG,59.0,clear sky,31.22,29.96,Mediterranean Azur Hotel
183,Nishihara,JP,77.0,overcast clouds,26.18,127.76,Minshuku Agaihama
184,Veraval,IN,80.29,clear sky,20.9,70.37,Lords Inn Somnath
185,Port Elizabeth,ZA,51.8,clear sky,-33.92,25.57,39 On Nile Guest House
186,Omboue,GA,74.26,overcast clouds,-1.57,9.26,Hotel Olako
188,Panzhihua,CN,66.99,clear sky,26.59,101.71,Electric Power Hotel
189,Filingue,NE,84.83,scattered clouds,14.35,3.32,
193,Iwanai,JP,57.2,overcast clouds,42.97,140.51,いわない高原ホテル
194,Saint-Pierre,RE,69.8,broken clouds,-21.34,55.48,Lindsey Hôtel
195,Xiongyue,CN,59.0,scattered clouds,40.18,122.12,Samsung Business Hotel
197,Puerto Vallarta,MX,82.4,few clouds,20.62,-105.23,Sunset Plaza Beach Resort & Spa
198,Fort Nelson,CA,55.4,few clouds,58.81,-122.7,The Fort Nelson Hotel
200,Acapulco,MX,86.0,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
201,Homer,US,51.01,clear sky,59.64,-151.55,Beluga Lake Lodge
202,Esperance,AU,50.0,broken clouds,-33.87,121.9,Hospitality Esperance
203,Trelew,AR,52.84,broken clouds,-43.25,-65.31,Hotel Touring Club
204,Boke,GN,75.54,clear sky,10.94,-14.3,Hôtel Rio Nunez - Boké
205,Maldonado,UY,66.99,clear sky,-34.67,-54.92,La Cimarrona
206,Avera,US,71.6,clear sky,33.19,-82.53,
207,Omachi,JP,70.0,few clouds,36.5,137.87,Ochicochi Village
208,Alyangula,AU,80.6,broken clouds,-13.85,136.42,Groote Eylandt Lodge
210,Lima,PE,71.6,scattered clouds,-12.04,-77.03,Gran Hotel Bolivar Lima
212,East London,ZA,72.16,clear sky,-33.02,27.91,Tu Casa
213,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
214,Billings,US,51.01,broken clouds,45.78,-108.5,Best Western Plus Clocktower Inn
217,Makakilo City,US,84.2,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
218,Dingle,PH,85.6,overcast clouds,11.0,122.67,Camp Pasica
219,Hailey,US,73.4,few clouds,43.52,-114.32,Wood River Inn & Suites
221,Port Blair,IN,83.77,overcast clouds,11.67,92.75,Hotel Sentinel
226,Charlottesville,US,66.2,clear sky,38.03,-78.48,Holiday Inn Charlottesville-Monticello
227,Los Llanos De Aridane,ES,68.0,few clouds,28.66,-17.92,Valle Aridane
230,Sydney,AU,60.01,clear sky,-33.87,151.21,QT Sydney
231,Galle,LK,81.59,overcast clouds,6.04,80.22,CocoBay Unawatuna
235,Ucluelet,CA,73.99,broken clouds,48.93,-125.55,A Snug Harbour Inn
236,Penco,CL,55.4,broken clouds,-36.73,-72.98,tabita isabel aezola vibanco
240,Qandala,SO,87.22,overcast clouds,11.47,49.87,
244,Banjar,ID,78.8,few clouds,-8.19,114.97,The Hamsa Resort
245,Goure,NE,82.45,few clouds,13.98,10.27,
246,Malpe,IN,83.37,overcast clouds,13.35,74.72,Hotel Sri Krishna Residency
247,Razole,IN,81.1,few clouds,16.48,81.83,Hotel Somisetty Landmark Konaseema
248,Bathsheba,BB,80.6,light intensity shower rain,13.22,-59.52,Atlantis Hotel
249,Eyl,SO,82.8,broken clouds,7.98,49.82,Amiin Hotel
250,Moindou,NC,78.8,clear sky,-21.69,165.68,Gite de la RYAWA
252,Sambava,MG,73.8,broken clouds,-14.27,50.17,Melrose
253,Butembo,CD,57.79,overcast clouds,0.15,29.28,Hotel Butembo
254,Totolapan,MX,82.4,scattered clouds,18.52,-96.18,RANCHO LOS ZURITA
255,Dunedin,NZ,51.01,broken clouds,-45.87,170.5,Scenic Hotel Southern Cross
256,Isangel,VU,77.0,scattered clouds,-19.55,169.27,Volcano Sea View Tree House
257,Salvador,SV,87.8,scattered clouds,13.83,-88.92,Chico's Ranch
262,Sarangani,PH,84.67,overcast clouds,5.4,125.46,Ballistic Islet
263,Kupang,ID,82.4,few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
264,Lincoln,US,55.0,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
265,Russell,US,77.0,clear sky,32.35,-85.2,Macs
267,Carmelo,UY,72.0,few clouds,-33.99,-58.29,Los Muelles Boutique Hotel
268,Uvalde,US,82.99,clear sky,29.37,-99.77,
270,Lethem,GY,82.99,broken clouds,3.38,-59.8,Savannah Inn
271,Souillac,MU,71.6,scattered clouds,-20.52,57.52,Bils' Villa
272,Caluquembe,AO,57.78,overcast clouds,-13.78,14.68,
274,Coquimbo,CL,55.4,clear sky,-29.95,-71.34,Hotel San Juan
276,Ofunato,JP,64.4,shower rain,39.07,141.72,Ofunato Hot Spring
277,Saint George,US,90.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
278,Xianshuigu,CN,66.2,overcast clouds,38.98,117.38,Guangchuan Hotel
279,Diffa,NE,82.71,clear sky,13.32,12.61,ProDAF/Diffa
280,Rosetta,EG,59.0,clear sky,31.4,30.42,Green Valley
281,Nome,US,57.0,overcast clouds,64.5,-165.41,Dredge 7 Inn
282,Sao Joao Da Barra,BR,70.21,clear sky,-21.64,-41.05,Pousada Porto De Canoas
284,Comodoro Rivadavia,AR,51.8,scattered clouds,-45.87,-67.5,Austral Hotel
287,Zambezi,ZM,59.11,broken clouds,-13.54,23.1,Royal Kutachika Lodge
288,Airai,TL,66.42,few clouds,-8.93,125.41,Juvinal Martin
289,Cassilandia,BR,66.56,clear sky,-19.11,-51.73,Hotel Rafa Cassilândia
291,Camana,PE,66.65,broken clouds,-16.62,-72.71,Hostal Morales
292,Lingyuan,CN,60.89,clear sky,41.24,119.4,Guomao Hotel
293,Stawell,AU,50.83,clear sky,-37.05,142.77,Motel Stawell
295,Morgan City,US,78.8,clear sky,29.7,-91.21,Hampton Inn & Suites Morgan City
296,Ancud,CL,52.0,broken clouds,-41.87,-73.82,HOTEL ANCUD DON LUCAS
297,Gbarnga,LR,74.25,overcast clouds,7.0,-9.47,Passion Hotel 2
298,Neftekamsk,RU,54.01,overcast clouds,56.09,54.27,Hotel Barhat
300,Guerrero Negro,MX,68.31,broken clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
301,Cockburn Town,TC,80.8,scattered clouds,21.46,-71.14,Osprey Beach Hotel
306,Pointe Michel,DM,80.6,scattered clouds,15.25,-61.38,Castle Comfort Lodge Dive Dominica
308,Virginia Beach,US,62.01,clear sky,36.85,-75.98,Hilton Virginia Beach Oceanfront
309,Katyuzhanka,UA,50.0,clear sky,50.81,30.14,
310,Ewa Beach,US,84.2,few clouds,21.32,-158.01,Parkside By Gentry
312,Padang,ID,79.36,overcast clouds,-0.95,100.35,Mercure Padang
